method,k,precision,recall,accuracy
LFM only (v1),10,0.01,0.001,0.01
LFM only (v1),15,0.015,0.001,0.015
LFM only (v1),20,0.02,0.001,0.02
Paper Hybrid VGG (v1),10,0.005,0.0005,0.005
Paper Hybrid VGG (v1),15,0.0,0.0,0.0
Paper Hybrid VGG (v1),20,0.02,0.001,0.02
CLIP Hybrid (v1),10,0.09,0.009000000000000003,0.09
CLIP Hybrid (v1),15,0.165,0.011000000000000001,0.165
CLIP Hybrid (v1),20,0.33,0.01649999999999998,0.33
CLIP+Text Hybrid (v1),10,0.705,0.07049999999999983,0.705
CLIP+Text Hybrid (v1),15,0.785,0.052333333333333246,0.785
CLIP+Text Hybrid (v1),20,0.84,0.04199999999999992,0.84
LFM only (v2),10,0.035,0.0034999999999999996,0.035
LFM only (v2),15,0.045,0.003,0.045
LFM only (v2),20,0.07,0.0035000000000000005,0.07
Paper Hybrid VGG (v2),10,0.055,0.0055,0.055
Paper Hybrid VGG (v2),15,0.055,0.0036666666666666666,0.055
Paper Hybrid VGG (v2),20,0.07,0.0035000000000000005,0.07
CLIP Hybrid (v2),10,0.56,0.05599999999999988,0.56
CLIP Hybrid (v2),15,0.785,0.052333333333333246,0.785
CLIP Hybrid (v2),20,0.82,0.040999999999999905,0.82
CLIP+Text Hybrid (v2),10,0.79,0.07899999999999979,0.79
CLIP+Text Hybrid (v2),15,0.845,0.05633333333333323,0.845
CLIP+Text Hybrid (v2),20,0.855,0.042749999999999934,0.855
